Jo Adell
Zach Neto
Yandy Diaz
Cal Raleigh
Randy Arozarena
Cole Young
Josh Bell
Josh Jung
Jesus Sanchez
Otto Lopez
Xavier Edwards
Freddie Freeman
Kyle Tucker
Nico Hoerner
Ian Happ
Adley Rutschman
Yordan Alvarez
JJ Wetherholt
Elly De La Cruz
Troy Johnston
Bryce Harper
Matt Chapman
Juan Soto
Bo Bichette
Kevin McGonigle
Colt Keith
Ozzie Albies
Drake Baldwin
Matt Olson
Ildemaro Vargas
Ketel Marte
